id,sentiment,positive,negative,neutral
350,Negative,0,1,2
351,Neutral,0,0,1
352,Neutral,0,0,1
353,Positive,1,0,1
354,Negative,0,1,3
355,Neutral,0,0,4
356,Negative,0,1,0
357,Neutral,0,0,1
358,Negative,0,1,1
359,Neutral,0,0,1
360,Neutral,0,0,2
361,Mixed,1,1,0
362,Positive,2,0,1
363,Positive,1,0,1
364,Positive,1,0,1
365,Neutral,0,0,1
366,Mixed,1,1,2
367,Neutral,0,0,1
368,Neutral,0,0,1
369,Neutral,0,0,1
370,Neutral,0,0,1
371,Neutral,0,0,1
372,Neutral,0,0,1
373,Neutral,0,0,1
374,Positive,3,0,0
375,Positive,2,0,1
376,Mixed,1,1,2
377,Neutral,0,0,1
378,Negative,0,2,2
379,Mixed,1,1,0
380,Positive,2,0,2
381,Positive,2,0,0
382,Positive,1,0,0
383,Negative,0,1,2
384,Neutral,0,0,1
385,Neutral,0,0,1
386,Negative,0,1,0
387,Negative,0,1,1
388,Neutral,0,0,1
389,Neutral,0,0,1
390,Neutral,0,0,1
391,Neutral,0,0,1
392,Neutral,0,0,1
393,Positive,1,0,3
394,Negative,0,1,0
395,Negative,0,1,0
396,Neutral,0,0,1
397,Neutral,0,0,3
398,Mixed,1,1,1
399,Positive,1,0,1
400,Negative,0,1,1
401,Negative,0,1,1
402,Negative,0,1,0
403,Positive,1,0,4
404,Positive,1,0,1
405,Positive,1,0,0
406,Mixed,1,1,1
407,Neutral,0,0,1
408,Neutral,0,0,1
409,Neutral,0,0,2
410,Neutral,0,0,1
411,Neutral,0,0,4
412,Positive,1,0,2
413,Neutral,0,0,2
414,Positive,1,0,1
415,Negative,0,1,4
416,Positive,2,0,0
417,Positive,2,0,2
418,Positive,2,0,0
419,Positive,1,0,0
420,Negative,0,2,2
421,Positive,1,0,1
422,Negative,0,1,0
423,Negative,0,1,0
424,Neutral,0,0,1
425,Negative,0,1,0
426,Positive,1,0,3
427,Mixed,1,1,0
428,Positive,1,0,0
429,Neutral,0,0,1
430,Neutral,0,0,1
431,Neutral,0,0,2
432,Positive,1,0,1
433,Positive,1,0,3
434,Positive,1,0,0
435,Neutral,0,0,2
436,Positive,1,0,1
437,Neutral,0,0,8
438,Neutral,0,0,1
439,Positive,1,0,0
440,Negative,0,1,2
441,Neutral,0,0,1
442,Neutral,0,0,1
443,Positive,2,0,1
444,Neutral,0,0,1
445,Negative,0,1,0
446,Negative,0,1,1
447,Neutral,0,0,1
448,Negative,0,1,0
449,Neutral,0,0,1
450,Neutral,0,0,2
451,Positive,1,0,1
452,Neutral,0,0,2
453,Neutral,0,0,1
454,Neutral,0,0,2
455,Positive,1,0,3
456,Negative,0,1,1
457,Positive,1,0,4
458,Negative,0,3,1
459,Negative,0,2,0
460,Negative,0,2,1
461,Negative,0,2,0
462,Neutral,0,0,1
463,Negative,0,1,0
464,Negative,0,1,3
465,Negative,0,2,1
466,Negative,0,2,0
467,Neutral,0,0,1
468,Neutral,0,0,1
469,Neutral,0,0,1
470,Neutral,0,0,1
471,Positive,1,0,0
472,Negative,0,2,3
473,Positive,1,0,0
474,Neutral,0,0,1
475,Negative,0,1,0
476,Negative,0,1,0
477,Neutral,0,0,1
478,Neutral,0,0,1
479,Positive,1,0,1
480,Neutral,0,0,2
481,Positive,1,0,3
482,Negative,0,1,1
483,Negative,0,1,1
484,Positive,1,0,2
485,Negative,0,1,1
486,Negative,0,1,3
487,Positive,2,0,0
488,Neutral,0,0,1
489,Neutral,0,0,4
490,Negative,0,2,0
491,Neutral,0,0,1
492,Negative,0,1,2
493,Mixed,1,1,0
494,Neutral,0,0,1
495,Mixed,1,1,0
496,Neutral,0,0,2
497,Neutral,0,0,1
498,Positive,1,0,0
499,Negative,0,1,2
500,Negative,0,1,2
501,Neutral,0,0,1
502,Mixed,1,1,1
503,Positive,1,0,3
504,Positive,1,0,0
505,Positive,1,0,1
506,Mixed,1,1,0
507,Mixed,1,1,1
508,Negative,0,1,1
509,Neutral,0,0,1
510,Negative,0,2,3
511,Negative,0,1,1
512,Negative,0,1,1
513,Negative,0,1,2
514,Positive,1,0,1
515,Negative,0,2,0
516,Neutral,0,0,1
517,Negative,0,1,0
518,Negative,0,1,0
519,Positive,2,0,0
520,Neutral,0,0,1
521,Neutral,0,0,1
522,Positive,1,0,2
523,Neutral,0,0,1
524,Negative,0,1,2
525,Positive,1,0,2
526,Neutral,0,0,1
527,Negative,0,2,0
528,Mixed,1,1,0
529,Positive,1,0,1
530,Positive,2,0,0
531,Negative,0,1,5
532,Neutral,0,0,1
533,Neutral,0,0,1
534,Positive,1,0,0
535,Neutral,0,0,1
536,Negative,0,1,1
537,Negative,0,1,1
538,Mixed,1,1,1
539,Neutral,0,0,1
540,Positive,1,0,1
541,Neutral,0,0,2
542,Negative,0,1,0
543,Mixed,2,1,1
544,Neutral,0,0,2
545,Neutral,0,0,2
546,Positive,1,0,0
547,Neutral,0,0,1
548,Positive,2,0,1
549,Negative,0,2,3
550,Mixed,1,2,2
551,Neutral,0,0,2
552,Mixed,2,1,1
553,Negative,0,3,0
554,Positive,1,0,0
555,Neutral,0,0,1
556,Neutral,0,0,2
557,Neutral,0,0,1
558,Neutral,0,0,2
559,Neutral,0,0,1
560,Positive,3,0,0
561,Negative,0,1,0
562,Positive,2,0,3
563,Mixed,1,1,0
564,Positive,2,0,0
565,Neutral,0,0,5
566,Positive,1,0,2
567,Neutral,0,0,1
568,Negative,0,1,4
569,Neutral,0,0,1
570,Positive,3,0,2
571,Negative,0,1,1
572,Mixed,1,2,0
573,Negative,0,1,0
574,Mixed,2,1,0
575,Neutral,0,0,1
576,Neutral,0,0,1
577,Neutral,0,0,1
578,Neutral,0,0,1
579,Neutral,0,0,1
580,Neutral,0,0,1
581,Neutral,0,0,1
582,Neutral,0,0,1
583,Neutral,0,0,1
584,Neutral,0,0,1
585,Neutral,0,0,1
586,Neutral,0,0,1
587,Neutral,0,0,1
588,Neutral,0,0,1
589,Mixed,1,1,1
590,Negative,0,1,3
591,Positive,1,0,1
592,Mixed,1,1,1
593,Neutral,0,0,2
594,Negative,0,1,1
595,Negative,0,2,1
596,Positive,2,0,1
597,Neutral,0,0,1
598,Neutral,0,0,3
599,Neutral,0,0,1
600,Negative,0,2,0
601,Positive,1,0,1
602,Negative,0,1,3
603,Mixed,3,1,3
604,Neutral,0,0,3
605,Neutral,0,0,1
606,Positive,1,0,2
607,Negative,0,1,0
608,Negative,0,1,2
609,Neutral,0,0,1
610,Neutral,0,0,3
611,Neutral,0,0,1
612,Positive,1,0,1
613,Neutral,0,0,3
614,Positive,1,0,0
615,Mixed,1,1,2
616,Neutral,0,0,1
617,Neutral,0,0,1
618,Positive,1,0,0
619,Positive,1,0,1
620,Neutral,0,0,2
621,Neutral,0,0,1
622,Positive,1,0,2
623,Mixed,1,1,2
624,Neutral,0,0,1
625,Neutral,0,0,1
626,Neutral,0,0,1
627,Neutral,0,0,1
628,Negative,0,1,4
629,Neutral,0,0,2
630,Neutral,0,0,2
631,Neutral,0,0,1
632,Positive,2,0,0
633,Negative,0,1,0
634,Mixed,1,1,1
635,Neutral,0,0,1
636,Neutral,0,0,1
637,Mixed,1,1,2
638,Positive,1,0,6
639,Positive,3,0,0
640,Positive,2,0,0
641,Negative,0,1,1
642,Neutral,0,0,1
643,Neutral,0,0,2
644,Negative,0,1,0
645,Negative,0,1,0
646,Negative,0,1,2
647,Positive,1,0,1
648,Neutral,0,0,1
649,Neutral,0,0,1
650,Neutral,0,0,2
651,Negative,0,1,0
652,Neutral,0,0,2
653,Mixed,1,2,1
654,Neutral,0,0,5
655,Positive,2,0,2
656,Negative,0,1,1
657,Positive,1,0,7
658,Negative,0,1,0
659,Neutral,0,0,1
660,Negative,0,1,2
661,Positive,1,0,0
662,Mixed,1,1,1
663,Neutral,0,0,1
664,Positive,2,0,1
665,Negative,0,1,0
666,Negative,0,2,4
667,Mixed,1,1,3
668,Negative,0,1,2
669,Positive,1,0,1
670,Negative,0,2,0
671,Positive,2,0,0
672,Negative,0,3,0
673,Negative,0,1,2
674,Negative,0,1,1
675,Neutral,0,0,1
676,Mixed,1,1,1
677,Neutral,0,0,2
678,Positive,1,0,0
679,Positive,1,0,0
680,Negative,0,1,0
681,Neutral,0,0,1
682,Positive,1,0,1
683,Neutral,0,0,2
684,Neutral,0,0,1
685,Negative,0,1,1
686,Neutral,0,0,1
687,Negative,0,1,1
688,Negative,0,1,0
689,Neutral,0,0,3
690,Mixed,3,1,2
691,Neutral,0,0,1
692,Neutral,0,0,1
693,Positive,2,0,1
694,Negative,0,1,0
695,Negative,0,1,2
696,Neutral,0,0,1
697,Negative,0,1,2
698,Neutral,0,0,1
699,Mixed,1,1,1
700,Neutral,0,0,1
701,Neutral,0,0,1
702,Neutral,0,0,1
703,Negative,0,1,2
704,Neutral,0,0,1
705,Neutral,0,0,1
706,Neutral,0,0,1
707,Negative,0,1,0
708,Negative,0,1,0
709,Positive,2,0,0
710,Negative,0,1,3
711,Positive,1,0,0
712,Neutral,0,0,1
713,Negative,0,1,0
714,Negative,0,1,3
715,Negative,0,2,1
716,Negative,0,1,0
717,Negative,0,1,0
718,Neutral,0,0,2
719,Negative,0,1,2
720,Positive,1,0,2
721,Neutral,0,0,1
722,Negative,0,1,3
723,Negative,0,1,3
724,Mixed,1,2,2
725,Negative,0,1,2
726,Positive,1,0,0
727,Positive,1,0,1
728,Positive,2,0,0
729,Neutral,0,0,1
730,Positive,1,0,0
731,Positive,1,0,0
732,Neutral,0,0,3
733,Neutral,0,0,2
734,Neutral,0,0,2
735,Neutral,0,0,2
736,Negative,0,1,2
737,Neutral,0,0,1
738,Neutral,0,0,1
739,Neutral,0,0,1
740,Mixed,1,1,3
741,Negative,0,1,1
742,Positive,1,0,0
743,Positive,1,0,1
744,Positive,1,0,0
745,Neutral,0,0,4
746,Neutral,0,0,1
747,Negative,0,1,0
748,Neutral,0,0,3
749,Negative,0,4,0
750,Positive,1,0,3
751,Negative,0,1,1
752,Neutral,0,0,1
753,Neutral,0,0,1
754,Neutral,0,0,1
755,Neutral,0,0,1
756,Neutral,0,0,1
757,Neutral,0,0,1
758,Neutral,0,0,1
759,Neutral,0,0,1
760,Neutral,0,0,1
761,Neutral,0,0,2
762,Neutral,0,0,1
763,Neutral,0,0,1
764,Neutral,0,0,3
765,Mixed,1,2,0
766,Positive,1,0,1
767,Mixed,2,1,1
768,Mixed,1,2,0
769,Neutral,0,0,1
770,Neutral,0,0,2
771,Neutral,0,0,2
772,Negative,0,1,0
773,Mixed,1,2,1
774,Neutral,0,0,3
775,Negative,0,1,1
776,Negative,0,1,0
777,Neutral,0,0,1
778,Neutral,0,0,3
779,Positive,3,0,0
780,Positive,1,0,0
781,Positive,1,0,1
782,Mixed,1,1,1
783,Negative,0,1,3
784,Positive,1,0,1
785,Positive,1,0,0
786,Neutral,0,0,2
787,Negative,0,1,1
788,Neutral,0,0,1
789,Negative,0,1,0
790,Mixed,1,1,0
791,Neutral,0,0,1
792,Neutral,0,0,1
793,Mixed,1,1,0
794,Positive,1,0,1
795,Negative,0,2,2
796,Neutral,0,0,2
797,Neutral,0,0,3
798,Mixed,1,1,1
799,Neutral,0,0,1
800,Negative,0,1,1
801,Negative,0,1,0
802,Neutral,0,0,4
803,Negative,0,1,4
804,Negative,0,1,0
805,Neutral,0,0,1
806,Negative,0,1,2
807,Neutral,0,0,2
808,Negative,0,1,0
809,Neutral,0,0,1
810,Positive,2,0,1
811,Neutral,0,0,2
812,Negative,0,1,0
813,Negative,0,2,2
814,Positive,1,0,1
815,Neutral,0,0,1
816,Positive,1,0,0
817,Positive,1,0,3
818,Neutral,0,0,1
819,Positive,1,0,0
820,Negative,0,1,4
821,Positive,1,0,1
822,Neutral,0,0,1
823,Neutral,0,0,3
824,Negative,0,2,1
825,Positive,2,0,2
826,Positive,1,0,0
827,Positive,1,0,0
828,Negative,0,3,3
829,Mixed,1,1,1
830,Positive,1,0,2
831,Positive,1,0,1
832,Neutral,0,0,1
833,Neutral,0,0,1
834,Neutral,0,0,1
835,Neutral,0,0,1
836,Positive,2,0,0
837,Negative,0,1,1
838,Positive,1,0,0
839,Neutral,0,0,4
840,Neutral,0,0,1
841,Neutral,0,0,1
842,Neutral,0,0,1
843,Neutral,0,0,1
844,Neutral,0,0,1
845,Neutral,0,0,1
846,Neutral,0,0,1
847,Neutral,0,0,1
848,Neutral,0,0,1
849,Neutral,0,0,1
850,Negative,0,1,0
851,Neutral,0,0,1
852,Neutral,0,0,2
853,Negative,0,1,2
854,Negative,0,1,0
855,Neutral,0,0,2
856,Neutral,0,0,1
857,Neutral,0,0,4
858,Neutral,0,0,1
859,Neutral,0,0,1
860,Neutral,0,0,1
861,Neutral,0,0,1
862,Neutral,0,0,1
863,Positive,3,0,2
864,Neutral,0,0,1
865,Neutral,0,0,1
