Unnamed: 0.1,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count,keyPhrases,keyWord
12743,7,17653129,alexandervelky,2018-05-14,"Thanks for . Field in question I ' had trouble enough in . It ' s between a river and a flooded boggy ditch ( ex - millrace ). Full of , and covered in a foot of dead grass , plus woody . Think it might be a flood - meadow ??",Mixed,2,1,2,"['boggy ditch', 'dead grass', 'Field', 'question', 'trouble', 'enough', 'river', 'ex', 'millrace', 'foot', 'flood', 'meadow']",enough
12743,7,17653129,alexandervelky,2018-05-14,"Thanks for . Field in question I ' had trouble enough in . It ' s between a river and a flooded boggy ditch ( ex - millrace ). Full of , and covered in a foot of dead grass , plus woody . Think it might be a flood - meadow ??",Mixed,2,1,2,"['boggy ditch', 'dead grass', 'Field', 'question', 'trouble', 'enough', 'river', 'ex', 'millrace', 'foot', 'flood', 'meadow']",river
12743,7,17653129,alexandervelky,2018-05-14,"Thanks for . Field in question I ' had trouble enough in . It ' s between a river and a flooded boggy ditch ( ex - millrace ). Full of , and covered in a foot of dead grass , plus woody . Think it might be a flood - meadow ??",Mixed,2,1,2,"['boggy ditch', 'dead grass', 'Field', 'question', 'trouble', 'enough', 'river', 'ex', 'millrace', 'foot', 'flood', 'meadow']",ex
12743,7,17653129,alexandervelky,2018-05-14,"Thanks for . Field in question I ' had trouble enough in . It ' s between a river and a flooded boggy ditch ( ex - millrace ). Full of , and covered in a foot of dead grass , plus woody . Think it might be a flood - meadow ??",Mixed,2,1,2,"['boggy ditch', 'dead grass', 'Field', 'question', 'trouble', 'enough', 'river', 'ex', 'millrace', 'foot', 'flood', 'meadow']",millrace
12743,7,17653129,alexandervelky,2018-05-14,"Thanks for . Field in question I ' had trouble enough in . It ' s between a river and a flooded boggy ditch ( ex - millrace ). Full of , and covered in a foot of dead grass , plus woody . Think it might be a flood - meadow ??",Mixed,2,1,2,"['boggy ditch', 'dead grass', 'Field', 'question', 'trouble', 'enough', 'river', 'ex', 'millrace', 'foot', 'flood', 'meadow']",foot
12743,7,17653129,alexandervelky,2018-05-14,"Thanks for . Field in question I ' had trouble enough in . It ' s between a river and a flooded boggy ditch ( ex - millrace ). Full of , and covered in a foot of dead grass , plus woody . Think it might be a flood - meadow ??",Mixed,2,1,2,"['boggy ditch', 'dead grass', 'Field', 'question', 'trouble', 'enough', 'river', 'ex', 'millrace', 'foot', 'flood', 'meadow']",flood
12743,7,17653129,alexandervelky,2018-05-14,"Thanks for . Field in question I ' had trouble enough in . It ' s between a river and a flooded boggy ditch ( ex - millrace ). Full of , and covered in a foot of dead grass , plus woody . Think it might be a flood - meadow ??",Mixed,2,1,2,"['boggy ditch', 'dead grass', 'Field', 'question', 'trouble', 'enough', 'river', 'ex', 'millrace', 'foot', 'flood', 'meadow']",meadow
12749,13,18675894,kingofbacchanal,2018-05-14,"1999 , watching a PA , I ’ t see so on display . clocked & ; copied my initiative . Entire display comes down , security flood aisle , me & ; about 10 . Looking back .. lucky we only got & ; not with criminal damage",Mixed,1,1,6,"['security flood aisle', 'criminal damage', 'Entire display', 'PA', 'initiative']",security flood aisle
12749,13,18675894,kingofbacchanal,2018-05-14,"1999 , watching a PA , I ’ t see so on display . clocked & ; copied my initiative . Entire display comes down , security flood aisle , me & ; about 10 . Looking back .. lucky we only got & ; not with criminal damage",Mixed,1,1,6,"['security flood aisle', 'criminal damage', 'Entire display', 'PA', 'initiative']",criminal damage
12749,13,18675894,kingofbacchanal,2018-05-14,"1999 , watching a PA , I ’ t see so on display . clocked & ; copied my initiative . Entire display comes down , security flood aisle , me & ; about 10 . Looking back .. lucky we only got & ; not with criminal damage",Mixed,1,1,6,"['security flood aisle', 'criminal damage', 'Entire display', 'PA', 'initiative']",Entire display
12749,13,18675894,kingofbacchanal,2018-05-14,"1999 , watching a PA , I ’ t see so on display . clocked & ; copied my initiative . Entire display comes down , security flood aisle , me & ; about 10 . Looking back .. lucky we only got & ; not with criminal damage",Mixed,1,1,6,"['security flood aisle', 'criminal damage', 'Entire display', 'PA', 'initiative']",PA
12749,13,18675894,kingofbacchanal,2018-05-14,"1999 , watching a PA , I ’ t see so on display . clocked & ; copied my initiative . Entire display comes down , security flood aisle , me & ; about 10 . Looking back .. lucky we only got & ; not with criminal damage",Mixed,1,1,6,"['security flood aisle', 'criminal damage', 'Entire display', 'PA', 'initiative']",initiative
12753,17,255452495,swanireland,2018-05-14,Why do need ? Flood mitigation and water quality are a couple of critical to begin this question across ' s landscape . flooding,Mixed,1,1,1,"['Flood mitigation', 'water quality', 'couple', 'question', 'landscape', 'flooding']",Flood mitigation
12753,17,255452495,swanireland,2018-05-14,Why do need ? Flood mitigation and water quality are a couple of critical to begin this question across ' s landscape . flooding,Mixed,1,1,1,"['Flood mitigation', 'water quality', 'couple', 'question', 'landscape', 'flooding']",water quality
12753,17,255452495,swanireland,2018-05-14,Why do need ? Flood mitigation and water quality are a couple of critical to begin this question across ' s landscape . flooding,Mixed,1,1,1,"['Flood mitigation', 'water quality', 'couple', 'question', 'landscape', 'flooding']",couple
12753,17,255452495,swanireland,2018-05-14,Why do need ? Flood mitigation and water quality are a couple of critical to begin this question across ' s landscape . flooding,Mixed,1,1,1,"['Flood mitigation', 'water quality', 'couple', 'question', 'landscape', 'flooding']",question
